x,y
1400,0.000655289999999975
1404,0.000550845000000022
1408,0.000594393999999943
1412,0.000629756000000037
1416,0.000594128999999999
1420,0.000638177000000073
1424,0.00057301999999998
1428,0.000751503999999958
1432,0.00078139100000002
1436,0.000624366999999959
1440,0.000683667999999915
1444,0.000988496000000005
1448,0.000657781999999996
1452,0.000599318000000071
1456,0.000720221999999993
1460,0.000808241000000043
1464,0.000906650000000009
1468,0.00114432300000006
1472,0.00129874499999999
1476,0.00149300800000002
1480,0.00164772699999999
1484,0.00157060600000003
1488,0.00160437200000002
1492,0.00154781900000006
1496,0.00170618
1500,0.00215886300000007
1504,0.00233512499999999
1508,0.00244467000000004
1512,0.00247621100000001
1516,0.002464674
1520,0.00255495200000011
1524,0.00265898199999992
1528,0.00262858699999996
1532,0.00245578499999999
1536,0.00231898199999997
1540,0.00210200300000007
1544,0.00158088699999998
1548,0.00350483799999995
1552,0.002834524
1556,0.002062169
1560,0.00189100599999992
1564,0.00180057900000008
1568,0.00149043800000004
1572,0.00133198000000001
1576,0.00125580600000003
1580,0.001045833
1584,0.000961299000000027
1588,0.000989853999999957
1592,0.000852310999999994
1596,0.000732456999999964
1600,0.000776044000000031
1604,0.000639182999999932
1608,0.000580681999999999
1612,0.000496698999999989
1616,0.000512597999999975
1620,0.000454231999999999
1624,0.00050936099999993
1628,0.000440422000000051
1632,0.00045965300000006
1636,0.000536752000000029
1640,0.000498604000000014
1644,0.000497954999999994
1648,0.000500112999999969
1652,0.000479854999999973
1656,0.00050083399999995
1660,0.000442337000000015
1664,0.000512912000000032
1668,0.000425243999999991
1672,0.000455945999999985
1676,0.000548658000000035
1680,0.000498827000000035
1684,0.000505724999999957
1688,0.000453972000000025
1692,0.000482981000000049
1696,0.00047439900000007
1700,0.000500712999999986
1704,0.000480967999999971
1708,0.000425940999999985
1712,0.000460124000000006
1716,0.000447127000000047
1720,0.000456374000000037
1724,0.000462043999999939
1728,0.00047551400000001
1732,0.000434609999999946
1736,0.000428939999999989
1740,0.000416497999999987
1744,0.000491666999999973
1748,0.000410898999999965
1752,0.000460189
1756,0.000469399999999953
1760,0.000482786999999985
1764,0.000443695999999993
1768,0.000493815000000009
1772,0.000402121999999949
1776,0.000442343000000012
1780,0.000387051999999999
1784,0.000432386000000062
1788,0.000459853999999982
1792,0.00043188200000005
1796,0.000434366999999991
1800,0.000469787999999915
1804,0.000449307999999954
1808,0.000401401000000023
1812,0.000425805999999973
1816,0.000494751000000015
1820,0.00043216299999993
1824,0.000450912999999997
1828,0.000413111999999882
1832,0.000425308000000069
1836,0.00043385300000004
1840,0.000415394999999985
1844,0.00038270600000001
1848,0.000437061999999988
1852,0.000420902999999972
1856,0.000426931999999991
1860,0.000385059999999993
1864,0.000422391000000022
1868,0.000483485000000006
1872,0.000392407999999955
1876,0.000372516000000045
1880,0.000376429000000011
1884,0.000457629999999931
1888,0.000323332999999981
1892,0.000343225999999919
1896,0.000392240000000044
1900,0.000453040999999987
1904,0.000401813000000029
1908,0.00050146599999995
1912,0.00046186700000006
1916,0.000437250999999972
1920,0.000410888000000054
1924,0.000382820000000061
1928,0.000470064999999964
1932,0.000411883000000002
1936,0.000433706000000089
1940,0.000400800999999951
1944,0.000421732000000008
1948,0.000341551999999967
1952,0.000379079999999976
1956,0.000489860000000009
1960,0.000558653000000076
1964,0.000465168000000016
1968,0.000526900000000052
1972,0.000492802999999986
1976,0.000538955000000063
1980,0.00051217099999995
1984,0.000667278000000049
1988,0.000460886999999965
1992,0.000950059000000003
1996,0.00121307399999998
2000,0.000882176000000012
2004,0.000641433000000025
2008,0.000512098999999988
2012,0.000475027999999988
2016,0.000421259999999979
2020,0.000461211999999989
2024,0.000447603999999935
2028,0.000646860999999999
2032,0.000877771000000027
2036,0.000762824999999967
2040,0.00065801900000001
2044,0.000541292999999998
2048,0.000529821999999902
2052,0.000481341999999996
2056,0.000474625999999978
2060,0.000482695000000033
2064,0.000457607999999998
2068,0.000450292000000019
2072,0.000442197000000033
2076,0.000443083999999982
2080,0.000459637000000013
2084,0.000531660999999961
2088,0.000508992999999958
2092,0.00047688899999998
2096,0.000528365999999975
2100,0.000570628000000017
2104,0.000690097999999917
2108,0.000611001
2112,0.000648678999999985
2116,0.000650811999999945
2120,0.000796883000000026
2124,0.000863912000000022
2128,0.00114847400000007
2132,0.00144513499999993
2136,0.00206888
2140,0.00312755900000011
2144,0.00410688799999998
2148,0.00453174200000001
2152,0.00523395500000001
2156,0.00680529799999996
2160,0.00877957200000001
2164,0.010299654
2168,0.010125086
2172,0.00712278199999999
2176,0.00557770999999999
2180,0.006368133
2184,0.00611794999999998
2188,0.00565397699999998
2192,0.00478640700000005
2196,0.00378364299999995
2200,0.00289429000000008
2204,0.00228824700000002
2208,0.00185314399999997
2212,0.00179708700000003
2216,0.00189918300000003
2220,0.00211640699999993
2224,0.001677598
2228,0.00163975600000005
2232,0.00159992399999997
2236,0.00158015700000003
2240,0.00148449099999998
2244,0.00144082800000001
2248,0.00155251000000001
2252,0.00187107200000003
2256,0.00186541599999995
2260,0.00173671600000003
2264,0.00143925799999994
2268,0.00131398400000005
2272,0.00131705100000001
2276,0.00131417699999997
2280,0.00133081099999999
2284,0.00120421500000001
2288,0.00120515100000002
2292,0.00113692700000001
2296,0.00105929100000002
2300,0.00089170999999999
2304,0.000846871999999999
2308,0.000662370000000023
2312,0.00061740799999993
2316,0.000662251999999974
2320,0.000556422000000001
2324,0.000641520000000007
2328,0.00053288300000004
2332,0.000492857000000013
2336,0.00045102800000002
2340,0.000494145000000001
2344,0.000428804000000005
2348,0.000400978999999968
2352,0.000462013000000039
2356,0.000422072999999967
2360,0.000471001000000026
2364,0.000519551000000007
2368,0.000704389000000027
2372,0.00107366399999997
2376,0.00168741300000003
2380,0.00224145699999995
2384,0.00244501599999997
2388,0.00273489700000007
2392,0.00292832300000001
2396,0.00345824200000006
2400,0.00407620599999992
2404,0.00459214299999999
2408,0.004993144
2412,0.005074633
2416,0.005395606
2420,0.00330475600000002
2424,0.00476545
2428,0.005158528
2432,0.00337154200000001
2436,0.00240876099999998
2440,0.00209432900000001
2444,0.002330585
2448,0.00310040099999997
2452,0.00381956699999997
2456,0.00399871299999999
2460,0.00338750000000004
2464,0.00245564900000006
2468,0.00230744599999999
2472,0.00285682399999998
2476,0.00256440499999999
2480,0.00318326800000007
2484,0.00382255500000001
2488,0.00341897699999999
2492,0.00558037300000003
2496,0.00911996199999998
2500,0.00489559499999997
2504,0.00321666199999998
2508,0.00310978300000009
2512,0.00372350100000002
2516,0.00341109200000006
2520,0.00457101799999993
2524,0.00302089900000002
2528,0.00271974499999994
2532,0.00250818800000002
2536,0.001787288
2540,0.00148588300000002
2544,0.001630091
2548,0.00181513
2552,0.00224686600000001
2556,0.00279427100000001
2560,0.00301179099999999
2564,0.00304663399999999
2568,0.00278007000000002
2572,0.00260903699999998
2576,0.00252155199999998
2580,0.002666261
2584,0.00232876700000006
2588,0.00209281899999997
2592,0.002188307
2596,0.00266449100000005
2600,0.00260565499999998
2604,0.00223357699999999
2608,0.00204216500000004
2612,0.00222710999999998
2616,0.00308383699999998
2620,0.00277769500000002
2624,0.00436630900000001
2628,0.00553769599999998
2632,0.00533979899999998
2636,0.00387639000000001
2640,0.00351902100000007
2644,0.00310606499999999
2648,0.00324088700000003
2652,0.003456499
2656,0.00316234899999995
2660,0.00327793799999998
2664,0.00379945900000001
2668,0.004651927
