simN,origN
0.0433663916578096,0.09
0.177255602737585,0.17
0.0696379248670832,0.06
0.0989638198284954,0.09
0.178168759509593,0.15
0.0883355390459389,0.07
0.0574599699275708,0.07
0.121930263216507,0.09
0.0548885814655448,0.06
0.159750528524149,0.12
0.0706453866161507,0.05
0.0828553110482965,0.07
0.0372844004720309,0.07
0.0977610605526089,0.13
0.0504023034894109,0.12
0.109792196427592,0.12
0.175497845979289,0.15
0.207744478444356,0.2
0.112642288444456,0.17
0.160045647307502,0.23
0.206683316347861,0.23
0.128081434073457,0.13
0.0814094552927363,0.05
0.0255235850902243,0.03
0.134098208896262,0.13
0.106480123369965,0.07
0.0635127471767318,0.03
0.0927734922839329,0.07
0.0482535411331998,0.04
0.219756273883395,0.21
0.209429434686168,0.19
0.114240377447217,0.09
0.0917657824903708,0.1
0.0709635214192083,0.05
0.0825243550444398,0.12
0.0211532137840668,0.04
0.0837822136023056,0.07
0.130952423035925,0.17
0.165654243957081,0.16
0.113064411479614,0.13
0.0540002630345073,0.04
0.115655682385573,0.06
0.129228798149635,0.16
0.129917649948027,0.12
0.118194393942105,0.13
0.0802390793478218,0.05
0.0739710786946199,0.07
0.0295321992292327,0.05
0.109408125823636,0.1
0.0447578067930993,0.06
0.00896424236637899,0.04
0.167584496572483,0.14
0.147602949700318,0.13
0.16682160824173,0.15
0.0912620300124689,0.2
0.0381496515632344,0.07
0.114290505157178,0.24
0.0308842556403025,0.09
0.256066306443781,0.26
0.308386241967816,0.25
-0.00176894341683863,0.08
0.118503709226074,0.11
0.0484922175055355,0.08
0.0804778614248838,0.09
0.0638950681256946,0.08
0.123019383595016,0.13
0.0978788981767648,0.1
0.190528641325021,0.15
0.185733161940037,0.17
0.15041126980583,0.18
0.153137050526759,0.13
0.163457607950984,0.14
0.108335922930867,0.12
0.136127223357539,0.15
0.126170867626121,0.14
0.141632345391993,0.15
0.168365160201694,0.15
0.126034866609708,0.14
0.235966301467919,0.16
0.167534787729197,0.15
0.149391745588558,0.16
0.146920465392049,0.14
0.350746381499725,0.37
0.223213685376081,0.19
0.128833157402498,0.19
0.212645333387086,0.23
0.186138949300922,0.22
0.200612225906908,0.24
0.206991016072264,0.17
0.242900747909845,0.22
0.202553586274641,0.19
0.232202277910669,0.19
0.0498137174011502,0.07
0.218104079631491,0.19
0.241664604124404,0.17
0.183909871459096,0.214390799
0.126188686484162,0.111924984
0.18175740045792,0.131070003
0.133107287040244,0.126045257
0.163981770447544,0.129773349
0.112171603505658,0.0988748
0.166268362896155,0.128406599
0.128641093315509,0.123242773
0.122358589933708,0.094171025
0.121733711904684,0.088729911
0.210711545590629,0.246489629
0.180151785788685,0.206562683
0.185229432999331,0.220197037
0.210575408159689,0.201496825
0.272444038151877,0.226939857
0.23480196441678,0.262861162
0.182170057045858,0.213591561
0.201995741098161,0.219531626
0.199121298751572,0.196816355
0.222726110367425,0.238779187
0.211600420653367,0.213634789
0.16293222609943,0.10418275
0.17737691491529,0.140700415
0.101421338454446,0.116018921
0.127892124678902,0.131935149
0.178335680317025,0.19746089
0.292564563648741,0.335505247
0.22012777043405,0.208655253
0.159859037931308,0.141528398
0.192896881408564,0.161360651
0.16072264001324,0.119263031
0.139262650774499,0.139965937
0.149890910862181,0.147163674
0.1260485472712,0.115409061
0.14700640892135,0.144191459
0.21636407188585,0.177740648
0.183618763293992,0.221602648
0.209216270470559,0.221265584
0.17449424968621,0.199508876
0.18613070063477,0.212162361
0.174639055785704,0.222296163
0.210182871271361,0.166845605
0.209120728400888,0.229149222
0.342261706843701,0.315759957
0.14333605572494,0.117542118
0.134335995237689,0.082052387
0.127636188110715,0.082363725
0.162607024799872,0.129288062
0.140434788893807,0.098122887
0.0866155937965977,0.109074064
0.0979592855234344,0.104352646
0.0793140047000349,0.101194374
0.0438706073420047,0.081650287
0.181078113948139,0.156551495
0.128237149127085,0.11044611
0.0724627354236088,0.102472112
0.061433556254191,0.131273016
0.196095903769021,0.158247724
0.141469866585986,0.1166666
0.0961063690929477,0.125253782
0.086519833004993,0.072835974
0.0563105695935433,0.067264244
0.116874596009073,0.079680577
0.0786261410057631,0.072671123
0.234250515535855,0.296539217
0.180899035369866,0.192490906
0.0899098070930512,0.263110131
0.203973419404725,0.191805243
0.218194272465221,0.184518605
0.218342467968287,0.225794688
0.193401962986035,0.167729139
0.172117310809854,0.164501786
0.121278828016824,0.112266548
0.147543327949414,0.144678757
0.190337364874282,0.150238022
0.274626242574791,0.21585086
0.174314156722025,0.182637066
0.447701930348523,0.633548379
0.391615267231489,0.600658834
0.488539788486284,0.656924725
0.163329355724234,0.145722657
0.218706382994927,0.160807535
0.181866826336029,0.171574473
0.143428077928173,0.131912455
0.171482173290482,0.154486209
0.173485544509377,0.124540009
0.150477236343285,0.155996934
0.115396121177808,0.12274757
0.1385981287734,0.151389271
0.169560242680245,0.144722462
0.132068999437255,0.149041355
0.173520770910082,0.147900939
0.135417469114929,0.110872619
0.156649746212915,0.141183674
0.158668649467056,0.172677904
0.184939190029545,0.156394437
0.168052974038171,0.177401349
0.17358496426228,0.14043422
0.145327420018476,0.133861005
0.131193113798666,0.139931723
0.160979629794889,0.14230597
0.190636338746538,0.177463382
0.255124806426284,0.255091012
0.320828740682185,0.396970063
0.258229796619515,0.247560814
0.192667632602343,0.162048548
0.180977078788656,0.13345176
0.218816180600181,0.257646412
0.241713090417931,0.253361106
0.139317526564623,0.140163168
0.213773451958017,0.19026269
0.148159055021397,0.1720929
0.161304653575656,0.156629756
0.183191211483704,0.130827025
0.149637411189691,0.146558508
0.172224871890205,0.158684015
0.24220151810519,0.22367382
0.116275666911463,0.147915423
0.199239609480799,0.193497643
0.160160248155836,0.13479054
0.168757305420968,0.135620877
0.218131330629811,0.206932992
0.105809816562415,0.117917053
0.188152777152714,0.184263662
0.209470393468114,0.218564317
0.141338886277132,0.14849104
0.308379656543189,0.359437048
0.162477098192867,0.174939245
0.171434934341702,0.170762971
0.172814311553346,0.179557011
0.121727123507855,0.137107193
0.195970406297748,0.124516554
0.162948197600517,0.137706533
0.138481099163575,0.141026229
0.202615556072768,0.135877147
0.169214068560291,0.153478503
0.140774424377208,0.143081889
0.322751404295081,0.318853796
0.250183040401817,0.308501154
0.257088117908049,0.297108889
0.250782862487594,0.262828231
0.23578648708636,0.257868141
0.261679532163698,0.273378491
0.330020716976996,0.334907442
0.198378660070431,0.177786514
0.170947440136551,0.173173964
0.202798893392542,0.184257552
0.168473775797641,0.21928671
0.186820108742543,0.178807616
0.180565743659502,0.221292228
0.108237173582611,0.130611613
0.238156161619902,0.144677982
0.391245059607602,0.498060226
0.104214008175903,0.099982865
0.145073475221764,0.114285789
0.112851947971127,0.103786796
0.127382388932997,0.098652706
0.0818046193945328,0.055637818
0.126456678487205,0.070975095
0.0430477080627891,0.064481251
0.106617500417909,0.113382071
0.127416299664681,0.141008556
0.166468939550327,0.164369196
0.160794913468065,0.173193574
0.193568348906795,0.136772633
0.13684625878022,0.144573361
0.109848640788755,0.125636831
0.160290169739386,0.099302404
0.143396004141735,0.088060059
0.130328985229831,0.091581501
0.231991154888701,0.199743003
0.246658844893871,0.263941795
