"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"100",15.40971752079,16.1360365780645,17.0003708828488,11.7370850842537,17.7469354837849,16.0742680389866,16.3849100326083,14.9599008299139,21.2700827582973,10.8932206028874,15.1479418630105,20.2313523839832,19.9372684556379,13.5017129911674,16.1029042604922,13.0778418530126,12.9353271933517,13.8093466007683,18.6429244278388,14.1928057338581,14.6053006144965,17.0972686209274,17.5049946489044,13.8340286396099,19.2381390961924,11.4718421719744,10.3449867355139,16.409648489177,18.4722396685752,19.8948197866598,12.7939427478184,17.2564700962938,17.1613919199926,16.7300559089145,25.7607802002221,17.7607653128931,21.346689709999,16.1915765168142,14.6175309078902,19.9697538865368,19.2953705045538,14.9531104531183,16.7099188028368,16.1820523166644,16.3711543157085,18.6191849747194,22.3419072246234,22.7307480689933,16.8860148004334,18.0681503366248,19.5664154796297,18.577534602224,25.5063495844575,13.6128741813153,13.3956764330256,16.1432966600175,11.7082107155733,13.6570211738936,17.2895400031484,18.6236213890691
"200",21.9279443553843,19.238782324851,15.5261248892274,22.4597688724591,10.1522460784567,19.8886344602541,18.9254938989841,17.1841632556837,14.5095772995814,22.3571281112772,21.6713132940648,18.6230191711319,11.0744522165408,16.1066357282084,15.20759220456,15.4569985760202,17.6207972087503,18.5766101186804,17.5829491689205,17.4363018747884,17.4082334180181,16.9218613694046,20.3122618400385,16.0604766714519,15.1495976026366,12.4822103314212,12.0766684670045,18.7477558777172,14.3720235197106,13.1864870958231,17.6961852737767,17.8528604671575,14.0630519640125,15.2818378998729,19.4013262563458,14.5381836956559,18.8950785901099,15.848366848797,16.0404445990252,13.2220849339456,17.4119242812934,11.9509687388561,20.7324604428964,12.5624859789551,23.0005790728167,16.319538867628,20.0872054212898,19.5310808716296,15.9635713153255,16.6832810174493,21.8774099425288,13.9194100321753,10.9275508227157,16.9810958707775,20.557059356629,12.3311938829866,18.4287097211068,16.2752137018157,21.7461807555072,17.2201925350375
"300",17.6105425799832,20.3864650063275,18.0146478726018,10.9448889904876,20.0028359373471,12.2966198441467,18.2269301275701,12.9469086836812,19.1908535499946,13.1310750114674,15.0868540389184,17.2805211054003,10.5330783813077,14.0040955304134,15.9466871487389,12.5271738424456,15.9918754257956,20.1030195663682,18.6498187243724,15.002854157615,15.7125754028113,17.0706781298333,10.6571471786488,18.6004231969578,14.0331428561707,13.5191012452046,15.0760369457954,9.98527782395803,13.5101829350878,21.0649473368143,24.9014655156939,16.188581046517,15.0141930329765,13.9987291635759,13.2724802209362,19.7318210003223,10.5648828900675,15.5459707993853,13.7502084992617,17.169156897389,20.349571927535,12.8659127759017,23.3087714435053,17.8301038524829,15.0331994002476,16.7663695873857,24.6040123068672,17.0168560089558,16.1828179330671,15.5259303809693,21.7458771649112,14.0491909786115,12.9202418652556,10.6095123770478,16.162614184387,21.1823258869988,18.9325277325576,17.3818471153126,14.894071813272,13.6797910007515
"400",13.5597309040937,17.7318438065556,15.0064393430753,13.0226562090249,12.9225782183677,14.6814196728017,16.7029701192081,11.4739093804554,20.5812824528278,17.439184725901,18.225671988044,13.2711515010477,14.9713235004953,15.3670291178483,19.6343640487402,17.4188925490603,22.6318721532045,18.6550559580392,16.9406467964572,18.7670839829097,11.9203990926803,15.5627926124466,16.236805353368,19.0164900595992,11.437296605781,12.9097074675501,21.7517877570772,16.7967738899535,18.7160647537356,14.2696874685499,20.5534573756331,17.3916848724019,18.0583849629195,16.9312211844599,10.799738392659,19.7227913053403,23.7277812723468,17.7699024439711,17.357061469529,6.91392432216361,15.7673190253026,21.794303788723,20.0222626745845,14.0472379753204,16.9603436134157,15.6991594742075,17.6736696942488,14.7752266090827,11.1002194694191,18.9931740705642,19.431980968383,14.7888351417355,16.5471235893661,22.8437301775561,16.7030658372531,15.6458782493582,18.151791505207,16.1305180827595,16.0358841325464,15.4841450028463
"500",25.1874381936798,11.8409825204313,24.3085594721142,19.5115247076053,18.3201587839433,23.9209016948614,13.8339286302934,17.1369082409758,15.1629491509099,18.2574882000911,18.1600152031684,19.5146332592636,17.2487006490801,13.6166488803173,14.9693763211569,17.9745970296855,16.2708434648118,15.3080853800236,16.8687140102244,12.975896360431,17.2378052916051,22.351135016121,19.5964590521227,15.4243729782957,15.9870884990843,17.0543702774817,20.7296515656902,19.1573176002731,15.4944257291659,12.5298909228168,20.2974193581583,15.4060948586804,20.4377241187974,14.1764789252674,19.6181330209663,18.3458815793216,17.4597280779727,19.1867793041469,13.1779795775554,21.8116052494767,17.4365184153273,20.5362657505228,16.7277125276619,16.3894351818942,11.5719905364172,16.2866091575311,21.8982330630618,10.8026457441869,11.8376633734114,16.7360170118183,16.8550322407901,24.1468018726639,18.0463398856888,14.5443316861769,19.2483308312019,12.0081527841014,14.5718444224989,13.7797504770816,10.1951073363686,18.4614692612136
"533",23.7347582761251,15.5721350314451,17.7413376025593,16.3589144720179,18.6143872994638,18.5441909233453,12.4550918136882,12.6696858573157,18.3159221432006,12.8194723370405,10.4783551337432,16.0040527596768,12.1808545091693,16.0033078872619,25.629575916674,18.6638526254288,12.6909577450952,13.0004094325021,15.1484756074016,16.1671798150215,14.156056635363,15.4592508715977,17.8154491351614,14.4862828798603,22.5953444540114,19.8134655554748,19.8169126677759,19.4886165056271,15.3394152708569,16.1769515428566,14.2526388493889,21.9020452053371,13.1090935130917,19.5676286254868,13.6685245294042,9.80591321742014,16.7915354603909,13.9519788224515,23.2094508657772,11.7263500980349,14.3258829775347,14.1934865667307,19.4332645530944,21.4834931447867,15.9404336484145,15.1968990790294,18.5430892026382,18.4641897760292,20.6282765943791,20.2301510630878,20.303443391833,14.5938789309976,17.2614705503188,11.6965251518406,17.5022912447848,10.9228334333457,10.9468897808028,20.0127600519888,18.3350730785477,17.2356080519147
